,dist_type,layer,F-value,p-value
486,energy_unit,45,6.812941705013767,0.0102
487,energy_unit,46,5.837898958846267,0.0208
488,energy_unit,47,4.932360462161592,0.0376
489,energy_unit,48,5.002569682242379,0.0356
490,energy_unit,49,4.971426998829216,0.0423
491,energy_unit,50,4.815741196106336,0.0408
492,energy_unit,51,4.532715079693697,0.0481
493,energy_unit,52,4.299541657317829,0.0556
494,energy_unit,53,4.4338112831626235,0.0521
495,energy_unit,54,4.703997899460673,0.0434
496,energy_unit,55,6.311815268147418,0.0144
497,energy_unit,56,6.080971210726445,0.0156
498,energy_unit,57,6.185260980851565,0.0127
499,energy_unit,58,5.974784454594932,0.0153
500,energy_unit,59,5.549712633204515,0.0213
501,energy_unit,60,5.57883935591432,0.0219
502,energy_unit,61,5.773626326192553,0.0174
503,energy_unit,62,6.036821067117536,0.0181
