,dist_type,layer,pseudo-F,p-value
140,centroid_euclidean,14,3.395786279026713,0.0001
141,centroid_euclidean,15,2.759411373478655,0.0016
142,centroid_euclidean,16,2.065605479192434,0.031
143,centroid_euclidean,17,2.290101198339302,0.0474
144,centroid_euclidean,18,2.3649413194406033,0.0178
145,centroid_euclidean,19,2.7784963070061774,0.0029
146,centroid_euclidean,20,3.5886057262198574,0.0002
147,centroid_euclidean,21,6.913398238750923,0.0002
148,centroid_euclidean,22,4.7007773783808435,0.0005
149,centroid_euclidean,23,3.5096261858921864,0.0106
150,centroid_euclidean,24,1.8552969337567518,0.0675
151,centroid_euclidean,25,2.680539063987345,0.0254
152,centroid_euclidean,26,3.5875191604428203,0.0051
153,centroid_euclidean,27,3.5873549942811174,0.0039
154,centroid_euclidean,28,3.1832515372882426,0.0068
155,centroid_euclidean,29,3.1719919367275917,0.0041
156,centroid_euclidean,30,1.9755814842483628,0.0851
157,centroid_euclidean,31,2.4852900174898953,0.0334
158,centroid_euclidean,32,2.883322473107575,0.0131
159,centroid_euclidean,33,3.033978181568313,0.0071
160,centroid_euclidean,34,2.8630162331700895,0.0088
161,centroid_euclidean,35,2.763905228535614,0.0143
162,centroid_euclidean,36,2.4401456422596475,0.0307
163,centroid_euclidean,37,2.7740371388702334,0.0089
164,centroid_euclidean,38,3.042751443339264,0.0028
165,centroid_euclidean,39,2.641732040983281,0.016
166,centroid_euclidean,40,2.6514569324554125,0.0183
167,centroid_euclidean,41,3.083580956144166,0.0014
168,centroid_euclidean,42,3.048375993467134,0.0021
169,centroid_euclidean,43,3.108557408536985,0.0026
170,centroid_euclidean,44,3.018309896956807,0.0032
171,centroid_euclidean,45,2.667195829805455,0.0114
172,centroid_euclidean,46,2.7121432345503003,0.0121
173,centroid_euclidean,47,2.6278555289360295,0.0143
174,centroid_euclidean,48,2.5210404896557717,0.0188
175,centroid_euclidean,49,2.2513641215983466,0.0477
176,centroid_euclidean,50,2.4683573481688392,0.0217
177,centroid_euclidean,51,2.445153364834336,0.0201
178,centroid_euclidean,52,2.4088614510216164,0.0234
179,centroid_euclidean,53,2.5593258168671764,0.0101
180,centroid_euclidean,54,2.540404134909693,0.0096
181,centroid_euclidean,55,2.8142237213052783,0.0043
182,centroid_euclidean,56,3.2708894390074765,0.0012
183,centroid_euclidean,57,3.3475661558532894,0.0001
184,centroid_euclidean,58,3.441509957410093,0.0001
185,centroid_euclidean,59,3.496546717409798,0.0001
186,centroid_euclidean,60,3.3679882418404063,0.0001
187,centroid_euclidean,61,3.426667318575208,0.0001
188,centroid_euclidean,62,3.325820501614086,0.0001
189,centroid_euclidean_unit,0,2.3215907575001635,0.0001
190,centroid_euclidean_unit,1,2.3565105554843853,0.0015
191,centroid_euclidean_unit,2,2.0612635946844295,0.0003
192,centroid_euclidean_unit,3,2.076586858307086,0.0007
193,centroid_euclidean_unit,4,2.0582513038024475,0.0007
194,centroid_euclidean_unit,5,1.8845641833516775,0.0116
195,centroid_euclidean_unit,6,2.006901401946447,0.0071
196,centroid_euclidean_unit,7,2.1884092876241588,0.0014
197,centroid_euclidean_unit,8,1.9360560097411161,0.0095
198,centroid_euclidean_unit,9,2.481148745208018,0.0004
199,centroid_euclidean_unit,10,2.1504613869521156,0.0009
200,centroid_euclidean_unit,11,2.5956343063255587,0.0004
201,centroid_euclidean_unit,12,2.727216636854167,0.0001
202,centroid_euclidean_unit,13,2.8964411694587238,0.0001
203,centroid_euclidean_unit,14,3.329232744915689,0.0001
204,centroid_euclidean_unit,15,3.561967504640362,0.0001
205,centroid_euclidean_unit,16,3.019734197184849,0.0001
206,centroid_euclidean_unit,17,2.9133178580128107,0.0036
207,centroid_euclidean_unit,18,2.3739055856004496,0.0196
208,centroid_euclidean_unit,19,2.551234761877001,0.0076
209,centroid_euclidean_unit,20,2.7334109296298346,0.0068
210,centroid_euclidean_unit,21,3.6305932985092375,0.0045
211,centroid_euclidean_unit,22,3.048765704583614,0.0057
212,centroid_euclidean_unit,23,2.7240362846779553,0.0127
213,centroid_euclidean_unit,24,1.7630869157825109,0.129
214,centroid_euclidean_unit,25,1.5939259494153448,0.1659
215,centroid_euclidean_unit,26,2.5101716352079397,0.0102
216,centroid_euclidean_unit,27,2.8476571997935656,0.005
217,centroid_euclidean_unit,28,3.0237353684009105,0.0004
218,centroid_euclidean_unit,29,2.9256439229355977,0.0009
219,centroid_euclidean_unit,30,3.46412255511296,0.0001
220,centroid_euclidean_unit,31,3.56218907592845,0.0001
221,centroid_euclidean_unit,32,4.086661615440667,0.0001
222,centroid_euclidean_unit,33,4.020067718257953,0.0001
223,centroid_euclidean_unit,34,3.8194702393803515,0.0002
224,centroid_euclidean_unit,35,3.656887843966413,0.0005
225,centroid_euclidean_unit,36,3.441409569441573,0.0012
226,centroid_euclidean_unit,37,3.5199476493547834,0.0005
227,centroid_euclidean_unit,38,3.918164679138014,0.0002
228,centroid_euclidean_unit,39,3.8530494677199,0.0001
229,centroid_euclidean_unit,40,4.161472101849974,0.0001
230,centroid_euclidean_unit,41,4.083840160534978,0.0001
231,centroid_euclidean_unit,42,4.069823967743985,0.0001
232,centroid_euclidean_unit,43,4.273192555934716,0.0001
233,centroid_euclidean_unit,44,4.138226205578209,0.0001
234,centroid_euclidean_unit,45,3.841142556865254,0.0001
235,centroid_euclidean_unit,46,3.9724739292899267,0.0001
236,centroid_euclidean_unit,47,3.891396975689651,0.0001
237,centroid_euclidean_unit,48,3.840786367148739,0.0001
238,centroid_euclidean_unit,49,3.6848324637220826,0.0001
239,centroid_euclidean_unit,50,3.724499439500744,0.0001
240,centroid_euclidean_unit,51,3.7104890115339746,0.0001
241,centroid_euclidean_unit,52,3.6850977965513496,0.0001
242,centroid_euclidean_unit,53,3.6769830750130668,0.0001
243,centroid_euclidean_unit,54,3.603550494704966,0.0001
244,centroid_euclidean_unit,55,3.8062808736750453,0.0001
245,centroid_euclidean_unit,56,4.039192286245739,0.0001
246,centroid_euclidean_unit,57,3.9852344071504886,0.0001
247,centroid_euclidean_unit,58,4.089337449269286,0.0001
248,centroid_euclidean_unit,59,4.058838687694337,0.0001
249,centroid_euclidean_unit,60,4.07848243336832,0.0001
250,centroid_euclidean_unit,61,4.163966141393033,0.0001
251,centroid_euclidean_unit,62,4.25929474502695,0.0001
252,earth_mover,0,2.5690174091235543,0.0001
253,earth_mover,1,2.3158911767837194,0.0001
254,earth_mover,2,2.3140267651594777,0.0001
