,dist_type,layer,R,p-value
375,earth_mover_unit,60,0.20406315789473695,0.0003
376,earth_mover_unit,61,0.21697894736842108,0.0001
377,earth_mover_unit,62,0.2297315789473683,0.0001
378,energy,0,0.023892105263158003,0.3022
379,energy,1,-0.002428947368421088,0.4856
380,energy,2,0.007847368421052677,0.4138
381,energy,3,0.009905263157894724,0.3965
382,energy,4,0.00818421052631582,0.4149
383,energy,5,0.002936842105263185,0.4386
384,energy,6,0.0073184210526315106,0.4161
385,energy,7,0.013894736842105118,0.3655
386,energy,8,-0.005894736842105262,0.5107
387,energy,9,0.03474736842105278,0.2302
388,energy,10,0.029384210526315797,0.2735
389,energy,11,0.022652631578947358,0.2994
390,energy,12,0.05367894736842109,0.1574
391,energy,13,0.0629894736842105,0.1213
392,energy,14,0.08280526315789472,0.0643
393,energy,15,0.08926052631578957,0.058
394,energy,16,0.03567894736842105,0.2306
395,energy,17,0.07772105263157898,0.0758
396,energy,18,0.08039473684210523,0.0739
397,energy,19,0.09275263157894723,0.0436
398,energy,20,0.11406315789473696,0.023
399,energy,21,0.2020631578947368,0.001
400,energy,22,0.1369578947368422,0.0118
401,energy,23,0.10123157894736841,0.0328
402,energy,24,0.08544736842105272,0.0657
403,energy,25,0.0870263157894738,0.0527
404,energy,26,0.10456842105263159,0.0251
405,energy,27,0.07591578947368416,0.0639
406,energy,28,0.08278421052631582,0.0478
407,energy,29,0.07597894736842101,0.0636
408,energy,30,0.052121052631578894,0.1244
409,energy,31,0.0922631578947369,0.0315
410,energy,32,0.1165052631578947,0.0152
411,energy,33,0.11854210526315785,0.01
412,energy,34,0.12714210526315778,0.0092
413,energy,35,0.13321578947368407,0.0067
414,energy,36,0.09902631578947359,0.0213
415,energy,37,0.11114736842105266,0.0154
416,energy,38,0.136778947368421,0.0052
417,energy,39,0.11655263157894724,0.0111
418,energy,40,0.13100526315789465,0.0064
419,energy,41,0.14042105263157906,0.0052
420,energy,42,0.13480526315789468,0.0048
421,energy,43,0.14497368421052634,0.0026
422,energy,44,0.13346052631578942,0.0048
423,energy,45,0.107757894736842,0.0159
424,energy,46,0.1149473684210525,0.0129
425,energy,47,0.10486315789473677,0.0199
426,energy,48,0.09742631578947361,0.0231
427,energy,49,0.08367894736842109,0.0379
428,energy,50,0.08956052631578952,0.0326
429,energy,51,0.0868842105263158,0.0393
430,energy,52,0.08529473684210537,0.0444
431,energy,53,0.08810000000000008,0.0441
432,energy,54,0.0908526315789473,0.0364
433,energy,55,0.10220263157894752,0.0243
434,energy,56,0.1283526315789473,0.0086
435,energy,57,0.1317578947368421,0.0079
436,energy,58,0.1342552631578948,0.0077
437,energy,59,0.14259473684210527,0.003
438,energy,60,0.12818421052631582,0.0076
439,energy,61,0.13147894736842122,0.0069
440,energy,62,0.12088947368421049,0.011
441,energy_unit,0,0.023978947368421218,0.3082
442,energy_unit,1,0.007628947368420996,0.411
443,energy_unit,2,0.015084210526315742,0.3589
444,energy_unit,3,0.015968421052631646,0.3571
445,energy_unit,4,0.013173684210526285,0.3715
446,energy_unit,5,0.0038631578947368717,0.4364
447,energy_unit,6,0.009799999999999915,0.4002
448,energy_unit,7,0.017915789473684118,0.345
449,energy_unit,8,-0.004499999999999964,0.5006
450,energy_unit,9,0.03264736842105259,0.2571
451,energy_unit,10,0.025605263157894666,0.2944
452,energy_unit,11,0.040247368421052636,0.2053
453,energy_unit,12,0.05131315789473685,0.1671
454,energy_unit,13,0.06113157894736836,0.1235
455,energy_unit,14,0.08667894736842094,0.0561
456,energy_unit,15,0.12266842105263148,0.02
457,energy_unit,16,0.08774210526315787,0.0592
458,energy_unit,17,0.12052368421052623,0.0201
459,energy_unit,18,0.08979210526315785,0.0507
460,energy_unit,19,0.08365263157894726,0.0593
461,energy_unit,20,0.1139842105263158,0.0253
462,energy_unit,21,0.18285789473684222,0.0024
463,energy_unit,22,0.14769473684210532,0.0061
464,energy_unit,23,0.11604736842105262,0.024
465,energy_unit,24,0.09387368421052623,0.0477
466,energy_unit,25,0.0733842105263159,0.0847
467,energy_unit,26,0.08629473684210526,0.0616
468,energy_unit,27,0.09438421052631579,0.0472
469,energy_unit,28,0.10722894736842101,0.0278
470,energy_unit,29,0.11242631578947361,0.0251
471,energy_unit,30,0.1484026315789473,0.0063
472,energy_unit,31,0.15759999999999985,0.0035
473,energy_unit,32,0.1957631578947368,0.0008
474,energy_unit,33,0.17373684210526316,0.0018
475,energy_unit,34,0.18423421052631572,0.0012
476,energy_unit,35,0.1951105263157894,0.0004
477,energy_unit,36,0.18047894736842096,0.0014
478,energy_unit,37,0.16879210526315797,0.0023
479,energy_unit,38,0.17958684210526318,0.0011
480,energy_unit,39,0.17055263157894734,0.0018
481,energy_unit,40,0.19829473684210522,0.0003
482,energy_unit,41,0.18409210526315792,0.0008
483,energy_unit,42,0.17946842105263153,0.0016
484,energy_unit,43,0.19860526315789487,0.0005
485,energy_unit,44,0.18640263157894735,0.0009
486,energy_unit,45,0.1617894736842105,0.0025
487,energy_unit,46,0.17925263157894733,0.0012
488,energy_unit,47,0.17296315789473685,0.002
489,energy_unit,48,0.1671736842105264,0.002
490,energy_unit,49,0.1587684210526316,0.0041
491,energy_unit,50,0.15698421052631584,0.0036
492,energy_unit,51,0.1543842105263158,0.004
493,energy_unit,52,0.1541157894736841,0.0051
494,energy_unit,53,0.14843157894736844,0.0054
495,energy_unit,54,0.1447315789473683,0.0075
496,energy_unit,55,0.14403157894736834,0.0069
497,energy_unit,56,0.16043157894736843,0.0033
498,energy_unit,57,0.15723684210526323,0.0039
499,energy_unit,58,0.16262105263157894,0.0023
500,energy_unit,59,0.16157105263157884,0.0021
501,energy_unit,60,0.16130000000000003,0.0018
502,energy_unit,61,0.17239473684210538,0.0012
503,energy_unit,62,0.18634210526315798,0.0003
